objectid,globalid,which_of_the_following_are_floo,please_describe_the_weather_con,please_indicate_the_approximate,please_enter_the_current_time,please_enter_todays_date,what_caused_the_flooding_,neighborhood_andor_borough_,x,y
150,67ef0a0c-541d-453b-8894-fad649abfc8a,"roads_streets,sidewalks,parking_lots,property","light_wind,light_rain",18,21:23,2021-03-28T16:00:00,,,-73.8169290999987,40.6088719999993
151,e3099000-2a0c-4b7f-872b-261cbca036a3,"roads_streets,parking_lots,property",light_rain,4,21:29,2021-03-28T16:00:00,,,-73.8168738999988,40.6088804999993
152,7776c594-e9b3-43bf-8297-26942a968ca3,"roads_streets,sidewalks,parking_lots","light_wind,light_rain",17,21:34,2021-03-28T16:00:00,,,-73.8169391999987,40.6088758999993
153,01bf9498-a8ff-4c1d-83ae-f4b562f49673,"roads_streets,sidewalks,parking_lots,property","light_wind,light_rain",0,21:36,2021-03-28T16:00:00,,,-73.8165425999988,40.6085418999993
154,d206145a-f7ca-416c-8d2b-a7b1d96763a7,"roads_streets,sidewalks,property","light_wind,light_rain",11,21:39,2021-03-28T16:00:00,,,-73.8176375999987,40.6090751999993
155,86713ec0-be4d-4cde-860d-1cfc4d51c76a,"roads_streets,sidewalks,parking_lots,property","light_wind,light_rain",18,21:42,2021-03-28T16:00:00,,,-73.8180794999988,40.6091781999993
156,191b9eaa-9cc4-4f67-855f-c781c4a62c3a,"roads_streets,sidewalks,property","light_wind,light_rain",18,21:45,2021-03-28T16:00:00,,,-73.8190234999987,40.6094783999993
157,f58005a8-ebca-460a-8fa8-9f833cea1211,"roads_streets,sidewalks,parking_lots,property","light_wind,light_rain",19,21:48,2021-03-28T16:00:00,,,-73.8189013999988,40.6094883999993
158,182cf00c-03a4-43be-8f7f-c3c914d315d0,"roads_streets,sidewalks,property","light_wind,light_rain",4,21:49,2021-03-28T16:00:00,,,-73.8184102999987,40.6093853999993
159,1013b429-6384-4935-8cc9-cddec3d41479,"roads_streets,sidewalks,parking_lots,property,other","light_wind,light_rain",0,22:07,2021-03-28T16:00:00,,,-73.8169395406318,40.6091683701531
160,50a49c49-0de7-4609-8790-93c391bef1e2,"roads_streets,sidewalks,property,other","sunny,light_wind",10,20:23,2021-05-24T16:00:00,"Overland_flooding_Water_coming_,Storm_drain_Water_bubbling_up_f",,-73.8303717350454,40.6588176239843
161,d8ddf170-a22b-4d0a-8ee8-523b685dcffc,"roads_streets,sidewalks,property,other","sunny,heavy_wind_gusts",10,12:29,2021-05-25T16:00:00,"Storm_drain_Water_bubbling_up_f,other",,-73.8073027739978,40.5951721690931
162,b119437b-193b-4f95-8718-cb1e35a33617,roads_streets,sunny,4,11:44,2021-06-07T16:00:00,Rainfall_Water_pooling_from_dir,,-73.8584530192297,40.6716035987376
163,c650b2f8-754a-401f-897d-9d34e73de376,roads_streets,"sunny,light_wind",5,21:20,2021-06-24T16:00:00,Storm_drain_Water_bubbling_up_f,,-73.8166750999987,40.6087636999993
164,0398d942-2873-45b3-892f-1ee5964fc7ce,"roads_streets,sidewalks","sunny,light_wind",7,21:28,2021-06-24T16:00:00,"Overland_flooding_Water_coming_,Storm_drain_Water_bubbling_up_f",,-73.8179649877797,40.6092158690126
165,e33cc52d-f69d-482c-835f-02ad22a2f72e,roads_streets,"sunny,light_wind",5,21:24,2021-06-24T16:00:00,Storm_drain_Water_bubbling_up_f,,-73.8185857841336,40.6094518931735
166,7569a240-dc40-4f7d-8647-7e9ecd52afee,roads_streets,"sunny,light_wind",,21:25,2021-06-24T16:00:00,"Overland_flooding_Water_coming_,Storm_drain_Water_bubbling_up_f",,-73.8174547192311,40.6090456052487
167,7c30cf7b-e117-4511-81c8-5e9a079da9ae,"roads_streets,parking_lots,property",light_wind,5,21:50,2021-06-24T16:00:00,Storm_drain_Water_bubbling_up_f,,-73.8314719702255,40.6543881518288
168,ca5ee19f-1a1e-4c01-8a21-2594b0a19161,"roads_streets,sidewalks",sunny,8,21:32,2021-06-24T16:00:00,Storm_drain_Water_bubbling_up_f,,-73.83203735611,40.6585944234774
169,bde40ebf-fcde-4f5e-8c15-a49a42888564,"roads_streets,sidewalks",sunny,6,20:27,2021-06-24T16:00:00,Storm_drain_Water_bubbling_up_f,,-73.8206621770143,40.607129591419
170,9ba8b7a1-ac80-41ad-884b-767e492959db,roads_streets,sunny,4,20:31,2021-06-24T16:00:00,Storm_drain_Water_bubbling_up_f,,-73.8208787175454,40.6069098643738
171,d14ed5d3-a421-42d0-8edf-e4f731c0bb36,roads_streets,sunny,5,20:31,2021-06-24T16:00:00,Storm_drain_Water_bubbling_up_f,,-73.8214930156516,40.6065187205756
172,5398b75e-c62a-45bc-8643-86a7fea339fd,roads_streets,sunny,6,21:04,2021-06-24T16:00:00,Storm_drain_Water_bubbling_up_f,,-73.819729915519,40.6030109203058
173,2fd985db-49c9-43d8-8a52-8678d0261f87,roads_streets,sunny,5,21:10,2021-06-24T16:00:00,Storm_drain_Water_bubbling_up_f,,-73.8185993556664,40.609416834971
176,8cd1e838-999a-40ef-833b-708c1748cbbb,,,,18:17,2021-07-20T16:00:00,,,-73.7694660397022,40.6072411700354
177,a8d25b45-09c1-46e3-8378-862411532357,"roads_streets,sidewalks,property",light_wind,4,19:50,2021-07-22T16:00:00,Storm_drain_Water_bubbling_up_f,,-73.8101770163934,40.590796230169
182,9cd5f9b6-9ed1-4646-8867-7bd41da0d8d6,,,,12:19,2020-12-05T16:00:00,,,-73.8015901249824,40.8644516790631
183,9dd175eb-470d-41ae-82a5-342273bf6c8e,"roads_streets,sidewalks,property,other",,7,02:01,2021-04-13T16:00:00,"Overland_flooding_Water_coming_,Storm_drain_Water_bubbling_up_f",,-73.8016487983044,40.8643882583954
